,address,coef,street
20685,1-й_Кирпичный_переулок_19,-1.3199,1-й_Кирпичный_переулок
6650,1-й_Кирпичный_переулок_17,-2.36701,1-й_Кирпичный_переулок
9360,1-й_Кожуховский_проезд_11,-2.7333,1-й_Кожуховский_проезд
9790,1-й_Кожуховский_проезд_11А,-2.05242,1-й_Кожуховский_проезд
25705,1-й_Кожуховский_проезд_19к1,-3.92326,1-й_Кожуховский_проезд
13774,1-й_Кожуховский_проезд_9,-3.47139,1-й_Кожуховский_проезд
25087,1-й_Кожуховский_проезд_19к3,-1.63393,1-й_Кожуховский_проезд
17809,1-й_Кожуховский_проезд_19к2,-1.97483,1-й_Кожуховский_проезд
19798,1-й_Колобовский_переулок_11,-0.745182,1-й_Колобовский_переулок
6955,1-й_Колобовский_переулок_13/14с2,0.477654,1-й_Колобовский_переулок
17589,1-й_Колобовский_переулок_13/14/2с4,0.291253,1-й_Колобовский_переулок
2937,1-й_Колобовский_переулок_14,3.30734,1-й_Колобовский_переулок
12124,1-й_Колобовский_переулок_27/3с2,-0.346182,1-й_Колобовский_переулок
12335,1-й_Колобовский_переулок_13/14с3,0.333129,1-й_Колобовский_переулок
5075,1-й_Колобовский_переулок_10с1,1.0229,1-й_Колобовский_переулок
22824,1-й_Колобовский_переулок_16с1,1.36682,1-й_Колобовский_переулок
16011,1-й_Колобовский_переулок_15/6,-1.3251,1-й_Колобовский_переулок
8595,1-й_Колобовский_переулок_25с2,0.469317,1-й_Колобовский_переулок
21563,1-й_Колобовский_переулок_18,1.79657,1-й_Колобовский_переулок
12047,1-й_Колобовский_переулок_8,4.05818,1-й_Колобовский_переулок
9057,1-й_Колобовский_переулок_7/10,0.837994,1-й_Колобовский_переулок
13732,1-й_Колобовский_переулок_16с2,0.550155,1-й_Колобовский_переулок
894,1-й_Коптельский_переулок_26с1,-1.40957,1-й_Коптельский_переулок
24402,1-й_Коптельский_переулок_9с2,-0.124382,1-й_Коптельский_переулок
2270,1-й_Коптельский_переулок_24с3,0.320852,1-й_Коптельский_переулок
1351,1-й_Коптельский_переулок_20,0.0188977,1-й_Коптельский_переулок
18643,1-й_Коптельский_переулок_9с1,1.25106,1-й_Коптельский_переулок
14273,1-й_Коптельский_переулок_14с1,-0.284383,1-й_Коптельский_переулок
2183,1-й_Красногвардейский_проезд_6,-0.0207491,1-й_Красногвардейский_проезд
21274,1-й_Красногвардейский_проезд_20А,-1.01807,1-й_Красногвардейский_проезд
22505,1-й_Красногвардейский_проезд_8,-0.536829,1-й_Красногвардейский_проезд
24561,1-й_Красногвардейский_проезд_20,-1.11701,1-й_Красногвардейский_проезд
4730,1-й_Красногвардейский_проезд_18к2,1.2551,1-й_Красногвардейский_проезд
18509,1-й_Красногвардейский_проезд_4кАс1,-1.5675,1-й_Красногвардейский_проезд
21438,1-й_Красногвардейский_проезд_4кБс2,-1.0936,1-й_Красногвардейский_проезд
12889,1-й_Красногвардейский_проезд_18/1к3,-1.64419,1-й_Красногвардейский_проезд
15963,1-й_Краснокурсантский_проезд_3/5к9,-0.321178,1-й_Краснокурсантский_проезд
9667,1-й_Краснокурсантский_проезд_5/7,-1.94085,1-й_Краснокурсантский_проезд
13636,1-й_Краснокурсантский_проезд_1/5,-1.51114,1-й_Краснокурсантский_проезд
615,1-й_Краснокурсантский_проезд_3/5к14,-0.536623,1-й_Краснокурсантский_проезд
16934,1-й_Краснокурсантский_проезд_3/5к15,-1.26133,1-й_Краснокурсантский_проезд
6898,1-й_Краснокурсантский_проезд_3/5к11,-3.08191,1-й_Краснокурсантский_проезд
1036,1-й_Краснокурсантский_проезд_3/5к10,-0.319526,1-й_Краснокурсантский_проезд
16542,1-й_Краснокурсантский_проезд_3/5к1,-2.6548,1-й_Краснокурсантский_проезд
5123,1-й_Краснокурсантский_проезд_7А,-0.321092,1-й_Краснокурсантский_проезд
2252,1-й_Красносельский_переулок_7-9с2,-2.0861,1-й_Красносельский_переулок
11672,1-й_Красносельский_переулок_5,-2.23737,1-й_Красносельский_переулок
2774,1-й_Красносельский_переулок_3,-4.69037,1-й_Красносельский_переулок
3734,1-й_Курьяновский_проезд_5,-0.536384,1-й_Курьяновский_проезд
3124,1-й_Лихачёвский_переулок_6,-0.882368,1-й_Лихачёвский_переулок
16370,1-й_Лихачёвский_переулок_8,-1.31222,1-й_Лихачёвский_переулок
5961,1-й_Лихачёвский_переулок_4к3,-0.897967,1-й_Лихачёвский_переулок
20742,1-й_Лихачёвский_переулок_4А,-0.747561,1-й_Лихачёвский_переулок
19452,1-й_Лихачёвский_переулок_4к1,-0.526639,1-й_Лихачёвский_переулок
21518,1-й_Лихачёвский_переулок_4к2,-0.735657,1-й_Лихачёвский_переулок
25069,1-й_Люберецкий_проезд_9,-0.32595,1-й_Люберецкий_проезд
6048,1-й_Монетчиковский_переулок_8,-2.48632,1-й_Монетчиковский_переулок
13550,1-й_Нагатинский_проезд_14,-3.22299,1-й_Нагатинский_проезд
20824,1-й_Нагатинский_проезд_11к3,0.00720128,1-й_Нагатинский_проезд
4854,1-й_Нагатинский_проезд_11к2,0.608012,1-й_Нагатинский_проезд
26635,1-й_Нагатинский_проезд_11к1,-0.100405,1-й_Нагатинский_проезд
3430,1-й_Неопалимовский_переулок_16/13,0.564777,1-й_Неопалимовский_переулок
22608,1-й_Неопалимовский_переулок_3/10,-1.08079,1-й_Неопалимовский_переулок
7408,1-й_Неопалимовский_переулок_14/16,2.76081,1-й_Неопалимовский_переулок
2876,1-й_Неопалимовский_переулок_11/22,0.785845,1-й_Неопалимовский_переулок
2054,1-й_Неопалимовский_переулок_15/7,2.9036,1-й_Неопалимовский_переулок
4210,1-й_Неопалимовский_переулок_9/15,0.0221049,1-й_Неопалимовский_переулок
9375,1-й_Неопалимовский_переулок_10,-0.0981023,1-й_Неопалимовский_переулок
21795,1-й_Неопалимовский_переулок_8,5.68169,1-й_Неопалимовский_переулок
6147,1-й_Нижний_Михайловский_проезд_18,-2.50732,1-й_Нижний_Михайловский_проезд
15805,1-й_Нижний_Михайловский_проезд_16,-3.16489,1-й_Нижний_Михайловский_проезд
10311,1-й_Николощеповский_переулок_20/4,-1.1763,1-й_Николощеповский_переулок
24875,1-й_Новокузнецкий_переулок_10с1,1.32373,1-й_Новокузнецкий_переулок
23555,1-й_Новокузнецкий_переулок_11,1.32374,1-й_Новокузнецкий_переулок
17167,1-й_Новокузнецкий_переулок_13,-0.0369138,1-й_Новокузнецкий_переулок
26591,1-й_Новокузнецкий_переулок_5-7,0.246991,1-й_Новокузнецкий_переулок
10823,1-й_Новомихалковский_проезд_8,-1.20342,1-й_Новомихалковский_проезд
22838,1-й_Новомихалковский_проезд_12,-1.58667,1-й_Новомихалковский_проезд
25896,1-й_Новомихалковский_проезд_14,-1.95505,1-й_Новомихалковский_проезд
1812,1-й_Новомихалковский_проезд_2к1,-1.08241,1-й_Новомихалковский_проезд
4594,1-й_Новомихалковский_проезд_4,-1.09349,1-й_Новомихалковский_проезд
5344,1-й_Новомихалковский_проезд_6,-1.40935,1-й_Новомихалковский_проезд
22755,1-й_Новомихалковский_проезд_10,-2.17882,1-й_Новомихалковский_проезд
17315,1-й_Новомихалковский_проезд_2,-2.55678,1-й_Новомихалковский_проезд
16708,1-й_Новоподмосковный_переулок_4,-2.72078,1-й_Новоподмосковный_переулок
21379,1-й_Новоподмосковный_переулок_2/1,-6.18348,1-й_Новоподмосковный_переулок
17208,1-й_Новый_переулок_7,-3.23372,1-й_Новый_переулок
17764,1-й_Обыденский_переулок_9/12,3.62275,1-й_Обыденский_переулок
6315,1-й_Обыденский_переулок_5,2.94205,1-й_Обыденский_переулок
5659,1-й_Обыденский_переулок_12с1,1.23172,1-й_Обыденский_переулок
6010,1-й_Обыденский_переулок_8,0.752852,1-й_Обыденский_переулок
20620,1-й_Очаковский_переулок_4,-0.951718,1-й_Очаковский_переулок
4445,1-й_Очаковский_переулок_3,-5.18882,1-й_Очаковский_переулок
18365,1-й_Очаковский_переулок_10,-1.88382,1-й_Очаковский_переулок
25274,1-й_Павелецкий_проезд_1/42к1,-2.2107,1-й_Павелецкий_проезд
15810,1-й_Павелецкий_проезд_1/42к2,-1.79824,1-й_Павелецкий_проезд
11656,1-й_Павловский_переулок_5,-3.06322,1-й_Павловский_переулок
20116,1-й_Рижский_переулок_2к7,-4.87304,1-й_Рижский_переулок
15345,1-й_Рижский_переулок_2к2,-2.41843,1-й_Рижский_переулок
8817,1-й_Рижский_переулок_3,-2.46789,1-й_Рижский_переулок
10772,1-й_Рижский_переулок_2к1,-2.21834,1-й_Рижский_переулок
17021,1-й_Рижский_переулок_2к4,-2.99254,1-й_Рижский_переулок
2521,1-й_Рижский_переулок_2к3,-1.8517,1-й_Рижский_переулок
15571,1-й_Рощинский_проезд_4к2,-2.49021,1-й_Рощинский_проезд
6148,1-й_Рощинский_проезд_8,-2.72634,1-й_Рощинский_проезд
14324,1-й_Рощинский_проезд_4к1,-0.765982,1-й_Рощинский_проезд
13697,1-й_Самотёчный_переулок_15с1,-0.309671,1-й_Самотёчный_переулок
12496,1-й_Самотёчный_переулок_2с1,-1.45802,1-й_Самотёчный_переулок
16031,1-й_Самотёчный_переулок_18,0.271669,1-й_Самотёчный_переулок
19171,1-й_Самотёчный_переулок_17Б,0.935536,1-й_Самотёчный_переулок
3850,1-й_Самотёчный_переулок_20/1к2,-1.95035,1-й_Самотёчный_переулок
25192,1-й_Самотёчный_переулок_22,-0.233692,1-й_Самотёчный_переулок
21943,1-й_Самотёчный_переулок_12с1,-0.199025,1-й_Самотёчный_переулок
8621,1-й_Самотёчный_переулок_17А,-1.03447,1-й_Самотёчный_переулок
8702,1-й_Саратовский_проезд_4,-4.62856,1-й_Саратовский_проезд
761,1-й_Саратовский_проезд_3,-2.76353,1-й_Саратовский_проезд
15729,1-й_Саратовский_проезд_7к2,-1.53378,1-й_Саратовский_проезд
2868,1-й_Саратовский_проезд_9к1,-1.2108,1-й_Саратовский_проезд
8493,1-й_Саратовский_проезд_8,-1.19927,1-й_Саратовский_проезд
18211,1-й_Саратовский_проезд_5к3,-1.18814,1-й_Саратовский_проезд
20280,1-й_Саратовский_проезд_7к1,-2.0278,1-й_Саратовский_проезд
23185,1-й_Саратовский_проезд_6к1,-1.17631,1-й_Саратовский_проезд
4781,1-й_Саратовский_проезд_9к2,-0.556451,1-й_Саратовский_проезд
24395,1-й_Саратовский_проезд_6к2,-1.06383,1-й_Саратовский_проезд
26505,1-й_Сельскохозяйственный_проезд_3,-2.65441,1-й_Сельскохозяйственный_проезд
26916,1-й_Сельскохозяйственный_проезд_5,-0.742539,1-й_Сельскохозяйственный_проезд
7700,1-й_Сетуньский_проезд_12,-2.54107,1-й_Сетуньский_проезд
4269,1-й_Сетуньский_проезд_10,-2.99665,1-й_Сетуньский_проезд
17301,1-й_Сетуньский_проезд_16/2,-3.15186,1-й_Сетуньский_проезд
15070,1-й_Смоленский_переулок_22/10,0.675816,1-й_Смоленский_переулок
10005,1-й_Смоленский_переулок_15,0.334118,1-й_Смоленский_переулок
19786,1-й_Смоленский_переулок_17,6.32147,1-й_Смоленский_переулок
21794,1-й_Спасоналивковский_переулок_17к1,0.0298182,1-й_Спасоналивковский_переулок
3756,1-й_Спасоналивковский_переулок_18с2,0.923025,1-й_Спасоналивковский_переулок
22498,1-й_Спасоналивковский_переулок_17к2,0.622294,1-й_Спасоналивковский_переулок
10384,1-й_Спасоналивковский_переулок_19,-0.122534,1-й_Спасоналивковский_переулок
17377,1-й_Стрелецкий_проезд_3,-4.59672,1-й_Стрелецкий_проезд
4287,1-й_Тверской-Ямской_переулок_14,0.084377,1-й_Тверской-Ямской_переулок
14221,1-й_Тверской-Ямской_переулок_16,2.46232,1-й_Тверской-Ямской_переулок
6093,1-й_Тихвинский_тупик_9,-1.99381,1-й_Тихвинский_тупик
2021,1-й_Тихвинский_тупик_5-7,-1.54712,1-й_Тихвинский_тупик
19123,1-й_Тушинский_проезд_7,-2.65413,1-й_Тушинский_проезд
9641,1-й_Тушинский_проезд_5,-3.01268,1-й_Тушинский_проезд
1611,1-й_Тушинский_проезд_14,-2.26938,1-й_Тушинский_проезд
12498,1-й_Тушинский_проезд_15,-1.39962,1-й_Тушинский_проезд
1181,1-й_Тушинский_проезд_6,-2.80026,1-й_Тушинский_проезд
21973,1-й_Тушинский_проезд_8,-1.31616,1-й_Тушинский_проезд
14970,1-й_Тушинский_проезд_3,-2.78869,1-й_Тушинский_проезд
14610,1-й_Тушинский_проезд_4,-2.99842,1-й_Тушинский_проезд
24459,1-й_Тушинский_проезд_17,-2.11675,1-й_Тушинский_проезд
1649,1-й_Хорошёвский_проезд_4к1,-1.10056,1-й_Хорошёвский_проезд
5912,1-й_Хорошёвский_проезд_12к1,-1.07665,1-й_Хорошёвский_проезд
4674,1-й_Хорошёвский_проезд_16к1,-0.469659,1-й_Хорошёвский_проезд
1226,1-й_Хорошёвский_проезд_4к3,-2.0859,1-й_Хорошёвский_проезд
9958,1-й_Хорошёвский_проезд_4к2,-0.768854,1-й_Хорошёвский_проезд
10272,1-й_Хорошёвский_проезд_14к2,-1.50715,1-й_Хорошёвский_проезд
2320,1-й_Хорошёвский_проезд_10к2,-1.59398,1-й_Хорошёвский_проезд
15115,1-й_Хорошёвский_проезд_12к2,-1.21184,1-й_Хорошёвский_проезд
18301,1-й_Хорошёвский_проезд_14к1,-1.31252,1-й_Хорошёвский_проезд
13880,1-й_Хорошёвский_проезд_6,-1.55467,1-й_Хорошёвский_проезд
17699,1-й_Хорошёвский_проезд_10к1,-1.45182,1-й_Хорошёвский_проезд
15091,1-й_Хорошёвский_проезд_12к3,-1.3655,1-й_Хорошёвский_проезд
363,1-й_Хорошёвский_проезд_16к2,-1.43267,1-й_Хорошёвский_проезд
3732,1-й_Хорошёвский_проезд_14к3,-0.650045,1-й_Хорошёвский_проезд
24845,1-й_Хорошёвский_проезд_2,-2.32157,1-й_Хорошёвский_проезд
11458,1-й_Хуторской_переулок_2,-1.87374,1-й_Хуторской_переулок
14177,1-й_Хуторской_переулок_4,-0.621354,1-й_Хуторской_переулок
15279,1-й_Щемиловский_переулок_4с2,-0.240161,1-й_Щемиловский_переулок
10568,1-й_Щипковский_переулок_28,-2.61274,1-й_Щипковский_переулок
15418,1-й_Щипковский_переулок_11/13,-0.719893,1-й_Щипковский_переулок
26392,1-й_Щипковский_переулок_17,-2.28292,1-й_Щипковский_переулок
2790,1-й_Щипковский_переулок_13/15,-2.26552,1-й_Щипковский_переулок
21447,1-й_Щипковский_переулок_25,-2.81254,1-й_Щипковский_переулок
23021,1-й_Щипковский_переулок_30,1.85728,1-й_Щипковский_переулок
10256,1-й_Электрозаводский_переулок_4,-2.61779,1-й_Электрозаводский_переулок
25167,1-й_Электрозаводский_переулок_3,-3.01418,1-й_Электрозаводский_переулок
25548,1-й_квартал_Капотни_3,-0.56932,1-й_квартал_Капотни
18168,1-й_квартал_Капотни_6,-0.335477,1-й_квартал_Капотни
14573,1-й_квартал_Капотни_4,-1.16366,1-й_квартал_Капотни
18344,1-й_квартал_Капотни_12,-1.2901,1-й_квартал_Капотни
17894,1-й_квартал_Капотни_8,-1.75868,1-й_квартал_Капотни
21211,1-й_квартал_Капотни_5,-0.335223,1-й_квартал_Капотни
19690,1-й_квартал_Капотни_7,-1.33488,1-й_квартал_Капотни
6044,1-й_квартал_Капотни_13,-1.29006,1-й_квартал_Капотни
9960,1-й_квартал_Капотни_2,-0.779042,1-й_квартал_Капотни
12271,1-й_микрорайон_15,-1.92651,1-й_микрорайон
10623,1-й_микрорайон_38,-2.5481,1-й_микрорайон
25650,1-й_микрорайон_6,-1.93611,1-й_микрорайон
16745,1-й_микрорайон_23Г,-3.81086,1-й_микрорайон
22669,1-й_микрорайон_7,-1.63528,1-й_микрорайон
4963,1-й_микрорайон_13,-2.46271,1-й_микрорайон
19138,1-й_микрорайон_19,-3.26879,1-й_микрорайон
4513,1-й_микрорайон_18,-2.23647,1-й_микрорайон
5936,1-й_микрорайон_30к1,-1.65322,1-й_микрорайон
12039,1-й_микрорайон_2,-1.44978,1-й_микрорайон
11423,1-й_микрорайон_11,-1.49441,1-й_микрорайон
3762,1-й_микрорайон_27,-1.3316,1-й_микрорайон
15053,1-й_микрорайон_39,-3.04208,1-й_микрорайон
22429,1-й_микрорайон_10,-1.56243,1-й_микрорайон
23938,1-й_микрорайон_20,-2.23468,1-й_микрорайон
23331,1-й_микрорайон_22к1,-1.49623,1-й_микрорайон
1190,1-й_микрорайон_4,-1.84792,1-й_микрорайон
24667,1-й_микрорайон_40,-2.36556,1-й_микрорайон
16669,1-й_микрорайон_45,-3.49106,1-й_микрорайон
6710,1-й_микрорайон_29,-1.41299,1-й_микрорайон
19755,1-й_микрорайон_16,-1.53799,1-й_микрорайон
1738,1-й_микрорайон_9,-1.7208,1-й_микрорайон
25186,1-й_микрорайон_26,-1.35348,1-й_микрорайон
9137,1-й_микрорайон_35,-1.28313,1-й_микрорайон
9085,1-й_микрорайон_43к1,-1.75335,1-й_микрорайон
16508,1-й_микрорайон_37,-1.25231,1-й_микрорайон
6199,1-й_микрорайон_31,-1.9346,1-й_микрорайон
8218,1-й_микрорайон_3,-1.72067,1-й_микрорайон
18662,1-й_микрорайон_5А,-1.68476,1-й_микрорайон
17934,1-й_микрорайон_36,-1.83473,1-й_микрорайон
5853,1-й_микрорайон_33,-0.808497,1-й_микрорайон
12777,1-й_микрорайон_41,-2.24665,1-й_микрорайон
21704,1-й_микрорайон_17,-2.27986,1-й_микрорайон
18996,1-й_микрорайон_5,-2.2632,1-й_микрорайон
23181,1-й_микрорайон_8,-3.57693,1-й_микрорайон
25082,1-й_микрорайон_21,-2.86935,1-й_микрорайон
5357,1-й_микрорайон_14,-1.70478,1-й_микрорайон
15912,1-й_микрорайон_42,-5.02319,1-й_микрорайон
92,1-й_микрорайон_43к2,-1.69647,1-й_микрорайон
13517,1-й_микрорайон_25,-1.60885,1-й_микрорайон
8203,1-й_микрорайон_22к2,-1.25285,1-й_микрорайон
25621,1-й_микрорайон_28,-2.35589,1-й_микрорайон
12706,1-й_микрорайон_34,-1.08548,1-й_микрорайон
3443,1-й_переулок_Петра_Алексеева_2,-2.92551,1-й_переулок_Петра_Алексеева
13973,1-й_переулок_Петра_Алексеева_5,-1.73332,1-й_переулок_Петра_Алексеева
24948,1-й_переулок_Тружеников_15,3.4024,1-й_переулок_Тружеников
17126,1-й_переулок_Тружеников_17,2.25308,1-й_переулок_Тружеников
20037,1-й_переулок_Тружеников_19/4с3,-1.00488,1-й_переулок_Тружеников
9866,1-й_переулок_Тружеников_17А,2.29693,1-й_переулок_Тружеников
22100,1-й_проезд_Марьиной_Рощи_3,-2.17849,1-й_проезд_Марьиной_Рощи
12055,1-й_проезд_Марьиной_Рощи_7/9,-0.896785,1-й_проезд_Марьиной_Рощи
3933,1-й_проезд_Марьиной_Рощи_11,-2.57363,1-й_проезд_Марьиной_Рощи
6950,1-я_Аэропортовская_улица_6,-3.9034,1-я_Аэропортовская_улица
559,1-я_Боевская_улица_2/12с3,-0.855178,1-я_Боевская_улица
22047,1-я_Боевская_улица_1к1,-0.526216,1-я_Боевская_улица
26187,1-я_Боевская_улица_2/12с4,-0.803749,1-я_Боевская_улица
6571,1-я_Боевская_улица_1к2,-1.48586,1-я_Боевская_улица
10466,1-я_Брестская_улица_36,0.778785,1-я_Брестская_улица
20250,1-я_Брестская_улица_33с2,-0.0229829,1-я_Брестская_улица
26618,1-я_Брестская_улица_33с1,2.24133,1-я_Брестская_улица
4883,1-я_Брестская_улица_40,-0.58374,1-я_Брестская_улица
14482,1-я_Владимирская_улица_34к2,-1.17231,1-я_Владимирская_улица
866,1-я_Владимирская_улица_18к2,-2.01655,1-я_Владимирская_улица
11992,1-я_Владимирская_улица_3к3,-1.72027,1-я_Владимирская_улица
20331,1-я_Владимирская_улица_25к1,-1.55067,1-я_Владимирская_улица
18062,1-я_Владимирская_улица_35к2,-2.50035,1-я_Владимирская_улица
6908,1-я_Владимирская_улица_15к3,-1.73185,1-я_Владимирская_улица
17566,1-я_Владимирская_улица_8,-1.32647,1-я_Владимирская_улица
24715,1-я_Владимирская_улица_24к1,-0.84238,1-я_Владимирская_улица
17033,1-я_Владимирская_улица_25к3,-1.10438,1-я_Владимирская_улица
3184,1-я_Владимирская_улица_18к4,-1.81213,1-я_Владимирская_улица
12168,1-я_Владимирская_улица_12к1,-1.6373,1-я_Владимирская_улица
26657,1-я_Владимирская_улица_33к2,-0.906091,1-я_Владимирская_улица
376,1-я_Владимирская_улица_35к1,-0.737953,1-я_Владимирская_улица
12688,1-я_Владимирская_улица_18к3,-2.25468,1-я_Владимирская_улица
12648,1-я_Владимирская_улица_29к1,-0.954519,1-я_Владимирская_улица
2812,1-я_Владимирская_улица_11,-2.96269,1-я_Владимирская_улица
5881,1-я_Владимирская_улица_31,-1.2544,1-я_Владимирская_улица
11963,1-я_Владимирская_улица_28,-1.1826,1-я_Владимирская_улица
3371,1-я_Владимирская_улица_39/12,-1.099,1-я_Владимирская_улица
211,1-я_Владимирская_улица_22к1,-3.66405,1-я_Владимирская_улица
16792,1-я_Владимирская_улица_17,-1.1447,1-я_Владимирская_улица
4162,1-я_Владимирская_улица_15к1,-2.08561,1-я_Владимирская_улица
